fecha,Outdoor Humidity(%),Outdoor Temperature(°C),Wind Speed(m/s),Nubosidad-octa(%)
2017-09-20,0.91,0.2620320855614974,0.3448275862068966,1.0
2017-03-24,0.92,0.5026737967914439,0.05172413793103448,0.360550651534258
2017-08-05,0.99,0.11764705882352942,0.1724137931034483,0.020386717108028585
2017-02-11,0.61,0.6951871657754011,0.05172413793103448,0.010193358554014292
2016-11-19,0.79,0.5508021390374332,0.0,0.14712063892391763
2017-09-09,0.88,0.3048128342245989,0.12068965517241378,1.0
2017-04-06,0.39,0.6737967914438503,0.12068965517241378,0.024590163934426233
2016-07-23,0.63,0.4652406417112299,0.12068965517241378,1.0
2017-04-29,0.18,0.7005347593582888,0.12068965517241378,0.013451029844472474
2017-09-30,0.52,0.6737967914438503,0.12068965517241378,1.0
2017-01-19,0.61,0.8342245989304814,0.0,0.4929592265657839
2017-05-19,0.79,0.05882352941176471,0.0,0.13692728036990331
2016-09-05,0.52,0.13903743315508021,0.0,0.018390079865489704
2016-12-08,0.79,0.5347593582887701,0.05172413793103448,0.010193358554014292
2017-03-06,0.5,0.7647058823529412,0.0,0.021017234131988236
2017-02-19,0.49,0.8235294117647058,0.05172413793103448,0.0016813787305590628
2017-04-21,0.8,0.7540106951871658,0.3448275862068966,0.03509878100042035
2016-12-18,0.72,0.6577540106951872,0.1724137931034483,0.0016813787305590628
2017-08-02,0.93,0.08021390374331551,0.12068965517241378,0.2869903320722993
2017-08-15,0.55,0.37967914438502676,0.05172413793103448,0.01408154686843211
2016-11-18,0.43,0.7112299465240642,0.12068965517241378,0.0016813787305590628
2016-09-13,0.48,0.5935828877005348,0.6379310344827587,1.0
2017-09-28,0.88,0.5347593582887701,0.12068965517241378,1.0
2017-03-21,0.69,0.6417112299465241,0.0,0.004308532997057587
2017-04-24,0.39,0.6684491978609626,0.05172413793103448,1.0
2017-01-07,0.64,0.7219251336898396,0.0,0.0016813787305590628
2017-09-22,0.57,0.732620320855615,1.0,0.007566204287515761
2016-08-25,0.49,0.39572192513368987,0.12068965517241378,0.0016813787305590628
2017-05-28,0.97,0.3315508021390375,0.12068965517241378,0.2702816309373686
2017-10-06,0.89,0.37433155080213903,0.0,0.03478352248844053
2017-08-03,0.23,0.39572192513368987,0.12068965517241378,0.0016813787305590628
2016-11-15,0.59,0.5775401069518717,0.05172413793103448,0.0016813787305590628
2017-03-13,0.46,0.6898395721925135,0.05172413793103448,0.04403110550651534
2017-08-17,0.55,0.5561497326203209,0.05172413793103448,0.012189995796553173
2017-03-26,0.83,0.4973262032085562,0.0,0.024590163934426233
2016-10-03,0.53,0.4812834224598931,0.05172413793103448,0.010193358554014292
2017-09-21,0.91,0.31550802139037437,0.05172413793103448,0.17633459436738125
2017-08-06,0.4,0.3529411764705882,0.05172413793103448,0.0016813787305590628
2016-09-15,0.48,0.5775401069518717,0.1724137931034483,1.0
2017-08-08,0.65,0.25668449197860965,0.12068965517241378,0.0016813787305590628
2017-02-20,0.38,0.8609625668449199,0.0,0.0016813787305590628
2017-09-01,0.67,0.33689839572192515,0.05172413793103448,0.007881462799495587
2016-05-31,0.97,0.33689839572192515,0.0,1.0
2017-10-08,0.98,0.31016042780748665,0.0,0.5087221521647751
2017-03-04,0.71,0.7540106951871658,0.05172413793103448,0.04171920975199665
2017-01-11,0.61,0.7486631016042781,0.0,0.0016813787305590628
2016-06-09,0.23,0.6096256684491979,0.12068965517241378,0.03089533417402271
2016-06-14,0.59,0.6684491978609626,0.0,0.9474569146700293
2017-07-23,0.98,0.23529411764705885,0.05172413793103448,0.022698612862547297
2016-07-12,0.93,0.2994652406417112,0.0,1.0
2016-08-21,0.27,0.40106951871657753,0.12068965517241378,0.0016813787305590628
2016-12-23,0.55,0.716577540106952,0.12068965517241378,0.013451029844472474
2016-05-29,0.71,0.6363636363636364,0.5862068965517241,1.0
2017-02-15,0.57,0.7486631016042781,0.0,0.01176965111391341
2016-09-01,0.49,0.32085561497326204,0.3448275862068966,0.22719630096679277
2017-08-09,0.78,0.2994652406417112,0.12068965517241378,0.0016813787305590628
2017-02-26,0.72,0.8716577540106952,0.05172413793103448,0.0016813787305590628
2017-03-11,0.3,0.8663101604278075,0.24137931034482757,0.04403110550651534
2017-06-14,0.98,0.28342245989304815,0.0,1.0
2016-09-08,0.34,0.4812834224598931,0.12068965517241378,0.03278688524590165
2016-08-22,0.19,0.6951871657754011,0.1724137931034483,0.0016813787305590628
2017-05-01,0.41,0.5026737967914439,0.0,0.05023118957545186
2016-11-27,0.76,0.5882352941176471,0.4655172413793104,0.0035729298024379996
2016-12-19,0.69,0.7219251336898396,0.0,0.015762925598991173
2017-03-25,0.93,0.47593582887700536,0.0,0.02490542244640605
2017-02-07,0.6,0.7754010695187166,0.0,0.0035729298024379996
2016-09-12,0.71,0.36898395721925137,0.41379310344827586,0.10834384195039932
2016-09-02,0.51,0.2620320855614974,0.0,0.020386717108028585
2017-09-25,0.68,0.5614973262032086,0.0,0.03940731399747794
2017-02-13,0.59,0.7593582887700535,0.05172413793103448,0.018705338377469523
2017-06-21,0.92,0.26737967914438504,0.12068965517241378,1.0
2017-05-13,0.97,0.36898395721925137,0.05172413793103448,0.8232450609499791
2016-06-06,0.93,0.25133689839572193,0.4655172413793104,0.36118116855821775
2016-09-16,0.38,0.5828877005347594,0.0,0.9425178646490122
