fecha,Outdoor Humidity(%),Outdoor Temperature(°C),Wind Speed(m/s),Nubosidad-octa(%)
2016-12-06,0.51,0.717391304347826,0.05172413793103448,0.07030264817150063
2017-08-29,0.81,0.2717391304347826,0.6379310344827587,0.9940100882723835
2016-12-19,0.69,0.7228260869565217,0.0,0.015762925598991173
2017-04-21,0.8,0.7554347826086956,0.3448275862068966,0.03509878100042035
2016-09-19,0.2,0.7663043478260869,0.0,0.00556956704497688
2017-04-08,0.8,0.47282608695652173,0.9310344827586208,0.0016813787305590628
2016-11-17,0.22,0.8423913043478259,0.0,0.0016813787305590628
2016-12-05,0.73,0.5271739130434783,0.12068965517241378,0.0016813787305590628
2016-08-21,0.27,0.39673913043478254,0.12068965517241378,0.0016813787305590628
2017-03-30,0.61,0.6086956521739131,0.0,0.005884825556956712
2017-10-01,0.91,0.3315217391304347,0.24137931034482757,0.25546448087431695
2016-12-21,0.66,0.733695652173913,0.05172413793103448,0.005884825556956712
2017-01-14,0.55,0.826086956521739,0.0,0.0016813787305590628
2017-04-10,0.54,0.42934782608695643,0.0,0.03646490121899959
2016-09-09,0.22,0.7989130434782609,0.0,0.9684741488020177
2017-01-03,0.51,1.0,0.4655172413793104,0.0016813787305590628
2017-10-02,0.74,0.21739130434782605,0.12068965517241378,0.13261874737284574
2017-03-10,0.49,0.8097826086956522,0.05172413793103448,0.1491172761664565
2017-03-29,0.68,0.5217391304347826,0.12068965517241378,0.012189995796553173
2016-07-12,0.93,0.29347826086956513,0.0,1.0
2016-11-15,0.59,0.5760869565217391,0.05172413793103448,0.0016813787305590628
2017-03-24,0.92,0.5,0.05172413793103448,0.360550651534258
2016-08-12,0.35,0.5163043478260869,0.0,0.0016813787305590628
2016-09-21,0.58,0.5543478260869565,0.05172413793103448,0.007881462799495587
2017-02-19,0.49,0.826086956521739,0.05172413793103448,0.0016813787305590628
2017-06-10,0.39,0.483695652173913,0.0,0.0016813787305590628
2017-10-09,0.66,0.5380434782608695,0.4655172413793104,0.07219419924337958
2016-08-28,0.89,0.3260869565217391,0.4655172413793104,1.0
