fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-04-18,0.50341743,0.692978723404255,0.21726987,1.0
2017-05-22,0.3436541,0.686354166666667,0.16796681,1.0
2017-04-09,0.47899747,0.379270833333333,0.27827013,0.08270283
2017-01-25,0.9705698,0.3740625,0.37874442,0.00168138
2016-11-08,0.7368352,0.465851063829787,0.4816074,0.00588483
2016-11-05,0.725644,0.514375,0.36083376,0.081126526
2017-09-22,0.77846354,0.35046511627907,0.72219586,0.007566206
2016-12-14,0.9327641,0.37481481481481504,0.65041333,0.00168138
2017-02-02,0.778395,0.494375,0.4449264,0.00168138
2017-09-18,0.5154758,0.593125,0.34772846,0.026586805
2017-05-13,0.39792907,0.8153125,0.27674115,0.82324505
2016-12-01,0.8455505,0.283645833333333,0.3337494,0.00168138
2017-09-07,0.30872118,0.688260869565217,0.29264802,0.025956284
2016-06-17,0.48337293,0.4846875,0.12690341,0.6337747
2016-11-10,0.85037476,0.333440860215054,0.37743387,0.14712064
2017-01-12,0.8779885,0.401477272727273,0.40292975,0.00168138
2017-07-31,0.31140083,0.562058823529412,0.13567883,1.0
2016-06-10,0.4897148,0.254895833333333,0.18347478,0.010193359
2017-03-06,0.8610365,0.335104166666667,0.30688345,0.021017242
2017-03-16,0.72529984,0.420520833333333,0.29530707,0.06273644
2016-07-09,0.42885208,0.275416666666667,0.12974289,1.0
2017-07-22,0.090590134,0.9575609756097561,0.1718398,0.3973308
2016-11-29,0.8572511,0.263229166666667,0.4106341,0.014396805
2017-06-28,0.25520384,0.776153846153846,0.046775997,0.2869903
2017-01-27,0.8976622,0.545625,0.44383433,0.00168138
2017-08-14,0.40647632,0.40357142857142897,0.5182227,0.010193359
2017-01-21,0.84210914,0.526145833333333,0.45060542,0.00168138
2017-09-14,0.37398708,0.615208333333333,0.70725167,0.34279108
2017-09-04,0.3787067,0.492708333333333,0.5058662,0.18947037
2017-02-06,0.8462387,0.372291666666667,0.37634176,0.025956284
2017-02-25,0.87101644,0.525520833333333,0.44558164,0.12673393
2016-09-07,0.6645354,0.205625,0.23043561,0.00168138
2017-02-13,0.8133493,0.411458333333333,0.42483154,0.018705342
2017-03-10,0.84481305,0.277708333333333,0.44143167,0.14911729
2016-10-27,0.68464714,0.43113636363636404,0.4336677,0.03583439
2017-08-29,0.35697705,0.537083333333333,0.35471797,0.9940101
