fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-09-14,0.38246018,0.615208333333333,0.70725167,0.34279108
2017-01-07,0.86294764,0.429270833333333,0.35449955,0.00168138
2017-04-30,0.72929376,0.244255319148936,0.2036626,0.05159731
2017-08-09,0.30249524,0.551014492753623,0.27563006,0.00168138
2017-03-27,0.74675566,0.373894736842105,0.29731196,0.014817152
2017-03-26,0.6601847,0.517708333333333,0.2758675,0.024590168
2017-04-24,0.62904274,0.315376344086021,0.5844137,1.0
2017-01-11,0.8797398,0.416145833333333,0.45344493,0.00168138
2016-07-19,0.29452753,0.623333333333333,0.05613455,1.0
2017-09-08,0.23072736,0.805208333333333,0.3464179,1.0
2017-02-22,0.8688299,0.528854166666667,0.46676865,0.00168138
2016-06-24,0.16592164,0.7625,0.33724415,0.7523119
2017-08-31,0.52604836,0.446041666666667,0.18041691,0.007566206
2016-10-24,0.50810444,0.45515151515151503,0.4819589,1.0
2017-03-15,0.70880157,0.387395833333333,0.34860212,0.0
2017-04-13,0.5799306,0.546351351351351,0.2935597,0.07030265
2017-03-05,0.81281334,0.40011363636363595,0.31190717,0.0038881898
2016-07-21,0.5572195,0.337395833333333,0.11772967,0.00168138
2016-09-10,0.5343942,0.504479166666667,0.2929044,0.05117696
2016-09-14,0.4339549,0.6148,0.298033,0.051912572
2017-02-13,0.83177656,0.411458333333333,0.42483154,0.018705342
2017-07-28,0.39297968,0.418723404255319,0.36806494,0.57734346
2017-01-18,0.88431495,0.433611111111111,0.2906474,0.00168138
2017-07-10,0.6712084,0.319736842105263,0.17216283,0.00168138
2016-12-11,0.91538554,0.3578125,0.45781335,0.96878946
2017-06-23,0.19838987,0.841,0.0,1.0
2017-01-26,0.89360005,0.535,0.42227092,0.00168138
2017-09-03,0.2515416,0.804791666666667,0.36083376,0.348781
2017-02-21,0.9460538,0.40875,0.37481284,0.00168138
2016-09-06,0.6830099,0.145833333333333,0.16250625,0.00168138
2017-07-12,0.20166783,0.906041666666667,0.18871695,0.707335
2017-07-17,0.41423464,0.33125,0.1581378,0.08270283
2017-02-25,0.8907502,0.525520833333333,0.44558164,0.12673393
2016-06-19,0.22803347,0.721162790697674,0.19895741,0.09058428
2017-07-19,0.67305535,0.232708333333333,0.18522218,0.00168138
2016-11-26,0.6183551,0.459270833333333,0.4508238,0.0055695698
2017-08-06,0.34239483,0.475681818181818,0.07196025,0.00168138
2017-01-05,0.8387639,0.29463157894736797,0.5107497,0.050231192
2017-02-10,0.73992234,0.3634375,0.34095737,0.0137662925
2017-10-06,0.68793696,0.454791666666667,0.3394284,0.034783524
2017-03-06,0.88054425,0.335104166666667,0.30688345,0.021017242
2017-03-28,0.702869,0.3946875,0.30775714,0.022698615
2017-04-23,0.6679357,0.353297872340426,0.55633575,0.010193359
2017-10-02,0.5029854,0.39136363636363597,0.49847963,0.13261876
2017-08-16,0.59567606,0.34795454545454496,0.28021607,0.014081549
2017-04-11,0.593667,0.281447368421053,0.05380088,0.007566206
2017-03-04,0.7814048,0.5067368421052629,0.42930347,0.041719217
2016-07-22,0.53198093,0.358645833333333,0.07732152,1.0
2016-09-24,0.6916574,0.266875,0.2592674,0.06862128
2017-08-29,0.36506474,0.537083333333333,0.35471797,0.9940101
2017-01-27,0.9179998,0.545625,0.44383433,0.00168138
2016-08-16,0.6408284,0.3296875,0.44077638,0.00168138
2017-04-19,0.5586272,0.62,0.25424367,0.02858344
2016-06-15,0.66239685,0.319166666666667,0.5792561,0.06431274
2017-01-02,0.8570654,0.437708333333333,0.61049056,0.00168138
2017-01-13,0.9361165,0.34321839080459804,0.6109801,0.00168138
2016-06-10,0.50080985,0.254895833333333,0.18347478,0.010193359
2016-06-14,0.63982296,0.409166666666667,0.22606716,0.9474569
2017-08-17,0.636689,0.40644444444444505,0.28330842,0.0121899955
2016-08-27,0.27688068,0.770416666666667,0.2546805,1.0
2017-08-27,0.2733264,0.737173913043478,0.26894444,0.18978563
2016-07-20,0.46657193,0.552916666666667,0.17801425,0.9881252
2017-01-09,0.9342893,0.279270833333333,0.5923615,0.00168138
2017-04-07,0.56792825,0.491145833333333,0.3064466,0.31063473
2017-09-26,0.81050974,0.372083333333333,0.64740396,0.007881466
2016-11-10,0.8696409,0.333440860215054,0.37743387,0.14712064
2016-09-23,0.6935059,0.224468085106383,0.27036044,0.00168138
2016-09-22,0.86022526,0.21244680851063802,0.49833766,0.102143764
2016-06-21,0.53469586,0.234270833333333,0.08081628,0.00168138
2017-10-09,0.58919495,0.470625,0.6207564,0.072194204
2017-10-07,0.4566483,0.642127659574468,0.38100302,1.0
2017-09-22,0.79610056,0.35046511627907,0.72219586,0.007566206
2017-03-29,0.59593195,0.532708333333333,0.32566777,0.0121899955
2017-09-19,0.23112957,0.798958333333333,0.35253376,0.18295503
2017-04-20,0.6749769,0.5662637362637359,0.366604,0.67780584
2016-11-04,0.7123577,0.462777777777778,0.41377938,0.00588483
2017-05-23,0.20592661,0.932,0.09129385,1.0
2017-09-05,0.57441384,0.229375,0.3472916,0.10340479
2017-03-14,0.6258462,0.571875,0.3357152,0.9320092
2016-09-04,0.23560409,0.3975,0.24441466,0.044976886
2017-04-08,0.4622466,0.461263157894737,0.5250966,0.00168138
2017-02-18,0.8581715,0.439270833333333,0.3754681,0.026586805
2016-05-31,0.29246622,0.822916666666667,0.049800307,1.0
2017-09-16,0.8016662,0.25512195121951203,0.2904911,0.00168138
2016-12-06,0.83162576,0.3359375,0.38769975,0.07030265
2016-09-05,0.3812536,0.2884375,0.22497508,0.018390078
2017-04-27,0.735712,0.144893617021277,0.29534426,0.00168138
2017-09-21,0.6727171,0.435454545454545,0.8412836,0.17633459
2017-05-16,0.30991203,0.928125,0.21427235,0.2233081
2016-11-06,0.8433772,0.439782608695652,0.46882942,0.050861705
2017-06-07,0.094823465,0.6436842105263161,0.10815356,0.00168138
2017-04-26,0.67732877,0.304375,0.58908516,0.00168138
2016-06-05,0.2463129,0.813229166666667,0.3219546,0.96878946
2016-10-06,0.7977254,0.274880952380952,1.0,0.007566206
2016-11-17,0.99999994,0.145625,0.40866828,0.00168138
2016-11-12,0.70452803,0.445,0.4088867,0.05348886
2017-03-17,0.7973375,0.415729166666667,0.30295184,0.18684322
2016-09-18,0.9109612,0.151875,0.26901695,0.00168138
2017-08-15,0.37921298,0.44441176470588206,0.23805472,0.014081549
2016-07-09,0.43856817,0.275416666666667,0.12974289,1.0
2017-01-17,0.93775374,0.336590909090909,0.5103935,0.00168138
