fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-09-15,0.59589124,0.342291666666667,0.591051,0.25777638
2017-04-01,0.5334188,0.4765625,0.33811787,0.01639345
2017-03-31,0.62230456,0.45875,0.3523153,0.023013871
2017-04-13,0.55527294,0.546351351351351,0.2935597,0.07030265
2017-09-05,0.54973125,0.229375,0.3472916,0.10340479
2017-05-23,0.17957819,0.932,0.09129385,1.0
2016-08-21,0.7431083,0.1671875,0.20990393,0.00168138
2016-12-22,0.7686628,0.416875,0.5851536,0.007566206
2017-09-04,0.3617582,0.492708333333333,0.5058662,0.18947037
2016-12-14,0.9309299,0.37481481481481504,0.65041333,0.00168138
2017-01-06,0.79351056,0.43270833333333303,0.46021602,0.5806011
2016-11-09,0.81078255,0.3934375,0.4722292,0.007566206
2016-11-22,0.5120053,0.561354166666667,0.4910135,0.010193359
2017-09-11,0.29903314,0.530652173913044,0.3190866,0.00168138
2017-01-11,0.85643756,0.416145833333333,0.45344493,0.00168138
2016-10-22,0.34209934,0.719753086419753,0.41988876,0.030580077
2016-09-26,0.6019012,0.397708333333333,0.28329384,0.09100464
2016-11-24,0.683969,0.439270833333333,0.4075762,0.24075241
2016-07-17,0.18646136,0.610104166666667,0.17714056,1.0
2017-08-03,0.32357034,0.405853658536585,0.16058841,0.00168138
2016-09-08,0.7401285,0.209583333333333,0.23567775,0.032786887
2016-11-17,0.9772414,0.145625,0.40866828,0.00168138
2017-02-01,0.8222078,0.495268817204301,0.43086985,0.00168138
2016-10-03,0.5769708,0.38826666666666704,0.38022968,0.010193359
2017-04-08,0.43705693,0.461263157894737,0.5250966,0.00168138
2017-02-11,0.7929044,0.393541666666667,0.32239145,0.010193359
2017-05-17,0.23883751,0.897578947368421,0.38295195,0.96910465
2016-07-23,0.44665417,0.470833333333333,0.19723544,1.0
2017-07-10,0.64696336,0.319736842105263,0.17216283,0.00168138
2017-07-12,0.17530015,0.906041666666667,0.18871695,0.707335
2016-12-03,0.68376696,0.47354166666666697,0.46240017,0.72835225
2017-02-23,0.84714496,0.5275,0.4156578,0.28047496
2017-07-14,0.18410608,0.794318181818182,0.2968956,0.941467
2017-07-22,0.06578201,0.9575609756097561,0.1718398,0.3973308
2016-08-16,0.616446,0.3296875,0.44077638,0.00168138
2016-10-06,0.77405226,0.274880952380952,1.0,0.007566206
2016-05-29,0.33457026,0.809787234042553,0.24783042,1.0
2017-03-16,0.7178061,0.420520833333333,0.29530707,0.06273644
2016-12-29,0.735764,0.503473684210526,0.41098356,0.00168138
2016-08-12,0.63094056,0.279895833333333,0.17998004,0.00168138
2017-02-21,0.92305136,0.40875,0.37481284,0.00168138
2017-08-28,0.17841792,0.795333333333333,0.34668002,0.15332073
2016-06-10,0.47579452,0.254895833333333,0.18347478,0.010193359
2017-03-30,0.67603993,0.432395833333333,0.32894412,0.00588483
2017-03-24,0.4749426,0.750326086956522,0.32296124,0.36055064
2017-07-21,0.3390613,0.598536585365854,0.20917407,0.0653636
2016-11-28,0.8625485,0.280208333333333,0.38573393,0.053173605
2017-08-08,0.4482198,0.380833333333333,0.1668747,0.00168138
2017-03-22,0.7325026,0.4775,0.25358838,0.05685162
2016-09-24,0.6675049,0.266875,0.2592674,0.06862128
2017-05-07,0.30852345,0.7677659574468091,0.29244435,0.8836696
2017-04-30,0.7053114,0.244255319148936,0.2036626,0.05159731
2017-03-20,0.67937326,0.569895833333333,0.28438595,0.05222783
2017-01-17,0.91471374,0.336590909090909,0.5103935,0.00168138
2016-09-12,0.34084985,0.588229166666667,0.56462187,0.108343855
2016-08-10,0.6043576,0.34327868852459,0.21002924,0.00168138
2017-01-09,0.91123366,0.279270833333333,0.5923615,0.00168138
2016-09-19,0.85588205,0.1821875,0.3464179,0.0055695698
2017-05-14,0.36448535,0.873125,0.2524963,1.0
2017-08-25,0.2297866,0.7519565217391311,0.21105301,0.42129046
2016-09-09,0.8550234,0.176979166666667,0.26778585,0.96847415
2017-01-25,0.96976686,0.3740625,0.37874442,0.00168138
2016-12-13,0.9999999,0.30045454545454503,0.44057783,0.00168138
2016-12-16,0.7788645,0.490833333333333,0.45999756,0.00168138
2017-05-04,0.6095315,0.336808510638298,0.23043096,0.042980243
2017-02-18,0.83477163,0.439270833333333,0.3754681,0.026586805
2016-07-05,0.26216576,0.657604166666667,0.20684603,0.00168138
2017-03-01,0.8565334,0.493045977011494,0.37430066,0.0
2016-07-02,0.1605027,0.83125,0.32239145,1.0
2016-09-22,0.8368348,0.21244680851063802,0.49833766,0.102143764
2016-07-07,0.45428017,0.2321875,0.10964804,0.65090376
2017-02-14,0.7821473,0.4421875,0.40102354,0.00168138
2017-09-07,0.2898635,0.688260869565217,0.29264802,0.025956284
2016-12-04,0.5614985,0.638333333333333,0.3549364,0.15332073
2016-06-15,0.63811207,0.319166666666667,0.5792561,0.06431274
2017-02-08,0.83850896,0.257291666666667,0.29923868,0.023013871
2017-06-13,0.018468946,0.9726315789473681,0.033108234,0.49127787
2017-05-16,0.2840337,0.928125,0.21427235,0.2233081
2016-08-25,0.49372318,0.395208333333333,0.21776712,0.00168138
2016-11-26,0.5938711,0.459270833333333,0.4508238,0.0055695698
2017-04-05,0.782989,0.33930555555555597,0.33986524,0.037095424
2017-04-21,0.7574512,0.555416666666667,0.37721545,0.03509878
2016-06-09,0.45109847,0.235520833333333,0.3197704,0.030895334
2017-04-14,0.506147,0.653125,0.24539754,0.00168138
2016-07-10,0.32888058,0.288020833333333,0.10811908,1.0
2017-01-02,0.8336606,0.437708333333333,0.61049056,0.00168138
2016-09-16,0.5956893,0.314270833333333,0.21776712,0.9425178
2017-10-10,0.4317846,0.603095238095238,0.56764853,0.110971004
2017-10-01,0.3262039,0.642708333333333,0.7387045,0.25546446
2016-12-08,0.47271386,0.655416666666667,0.47572395,0.010193359
2016-09-23,0.6693617,0.224468085106383,0.27036044,0.00168138
2016-09-02,0.2687312,0.392916666666667,0.6314591,0.020386722
2017-10-02,0.47797993,0.39136363636363597,0.49847963,0.13261876
2016-06-08,0.49104652,0.2653125,0.115763865,0.00168138
2017-02-02,0.7723496,0.494375,0.4449264,0.00168138
2016-12-10,0.69240296,0.496354166666667,0.4765977,0.00168138
2017-07-01,0.58104336,0.30266666666666703,0.05591613,0.00168138
2016-07-20,0.44140187,0.552916666666667,0.17801425,0.9881252
2017-05-10,0.28879467,0.8163529411764711,0.4260316,0.00168138
2017-03-08,0.76088536,0.31125,0.3560285,0.01639345
2016-11-03,0.9850694,0.188947368421053,0.5899887,0.00168138
2017-07-16,0.0,0.6906666666666671,0.6216009,0.38556117
2016-07-09,0.41327152,0.275416666666667,0.12974289,1.0
2017-08-31,0.50114715,0.446041666666667,0.18041691,0.007566206
2017-07-30,0.43555954,0.39510638297872297,0.13651863,1.0
2017-08-27,0.24728265,0.737173913043478,0.26894444,0.18978563
2016-08-17,0.5061976,0.345520833333333,0.54409015,0.047604036
2017-10-08,0.50710654,0.540416666666667,0.38311288,0.5087222
2016-08-11,0.6342504,0.339102564102564,0.2701717,0.00168138
2017-09-21,0.648479,0.435454545454545,0.8412836,0.17633459
2017-06-25,0.22366393,0.925,0.45654252,0.97698617
2017-03-17,0.7736627,0.415729166666667,0.30295184,0.18684322
2016-10-29,0.64472795,0.547708333333333,0.3337494,0.03846154
2016-09-03,0.25585285,0.340416666666667,0.3005492,0.0035729334
2016-09-06,0.65881836,0.145833333333333,0.16250625,0.00168138
2017-06-10,0.35555425,0.295789473684211,0.058491215,0.00168138
2016-09-18,0.8878001,0.151875,0.26901695,0.00168138
