fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-01-28,0.905578,0.536458333333333,0.43731344,0.00168138
2017-02-03,0.5046735,0.733333333333333,0.46119398,0.00168138
2017-03-25,0.50451136,0.659895833333333,0.43184072,0.024905425
2016-08-19,0.24308005,0.348229166666667,0.67910445,0.00168138
2016-06-10,0.43888322,0.254895833333333,0.16965173,0.010193359
2017-07-31,0.24280664,0.562058823529412,0.11521801,1.0
2016-11-08,0.7106203,0.465851063829787,0.50918806,0.00588483
2016-07-08,0.2759482,0.531354166666667,0.15572138,1.0
2016-07-21,0.49953791,0.337395833333333,0.094776124,0.00168138
2016-06-01,0.27443454,0.613333333333333,0.12686567,1.0
2017-01-25,0.96763825,0.3740625,0.39203978,0.00168138
2017-03-03,0.7509141,0.562395833333333,0.32263678,0.004308533
2017-03-09,0.7333448,0.230833333333333,0.5079602,0.004308533
2017-03-29,0.54116356,0.532708333333333,0.33159202,0.0121899955
2016-07-13,0.108840495,0.735714285714286,0.17063583,1.0
2017-03-22,0.71366715,0.4775,0.24950247,0.05685162
2016-11-09,0.79745924,0.3934375,0.49850744,0.007566206
2016-11-19,0.6345782,0.466559139784946,0.5132883,0.14712064
2016-09-03,0.20345452,0.340416666666667,0.30298507,0.0035729334
2017-05-23,0.121809065,0.932,0.06466897,1.0
2016-08-11,0.60849667,0.339102564102564,0.2683888,0.00168138
2017-08-30,0.5082954,0.391041666666667,0.1721393,1.0
2017-04-04,0.52629733,0.542395833333333,0.24129353,0.15857504
2017-05-21,0.4375536,0.43308510638297903,0.13649836,0.010193359
2016-08-14,0.59808815,0.4128125,0.60323375,0.00168138
2016-09-17,0.60981905,0.232604166666667,0.2557214,0.00168138
2016-11-22,0.47764382,0.561354166666667,0.51990044,0.010193359
2017-10-09,0.5339196,0.470625,0.66766167,0.072194204
2017-10-13,0.4560741,0.480208333333333,0.38358212,0.11727618
2016-07-05,0.21021196,0.657604166666667,0.19626866,0.00168138
2016-09-08,0.7218301,0.209583333333333,0.22910447,0.032786887
2016-11-17,0.975639,0.145625,0.4261194,0.00168138
2017-01-03,0.89449584,0.3315625,0.99999994,0.00168138
2016-12-03,0.66149986,0.47354166666666697,0.4873134,0.72835225
