fecha,CW(L/dia)
2016-10-03,0.0
2017-01-13,0.0
2017-04-20,0.016
2016-07-02,0.0
2017-06-28,0.35520000000000435
2017-10-11,0.059200000000000724
2017-08-05,0.0
2017-07-25,0.0
2017-04-23,0.0
2017-09-03,0.224
2017-06-25,0.027200000000000727
2016-09-14,0.15039999999999987
2016-07-16,0.0016000000000021828
2017-05-10,0.136
2017-02-11,0.0
2017-02-27,0.0032000000000007274
2017-06-14,0.17439999999999964
2017-08-10,0.0
2017-05-16,0.0
2016-09-09,0.0
2016-09-21,0.0
2017-03-06,0.0
2016-07-09,0.0
2016-12-01,0.0
2017-03-28,0.0
2016-08-13,0.0
2016-10-23,0.088
2016-06-16,0.0
2017-04-27,0.0
2017-04-11,0.0
2016-11-20,0.14560000000000003
2017-05-21,0.0
2016-05-29,0.0
2017-10-06,0.10239999999999781
2016-09-24,0.0
2017-09-19,0.17759999999999854
2017-01-26,0.012799999999999272
2017-03-15,0.0
2017-08-31,0.0
2017-05-19,0.0
2016-07-03,0.0
2017-08-29,0.0031999999999989086
2016-09-18,0.0
2017-01-02,0.0
2017-06-13,0.34720000000000073
2017-04-10,0.0
2017-02-18,0.011200000000000727
2017-02-25,0.0
2016-06-19,0.019200000000000727
2017-07-22,0.0
2017-05-20,0.0
2016-07-05,0.28480000000000016
2017-02-28,0.0
2016-12-16,0.028800000000000003
2016-07-15,0.21920000000000073
2016-11-23,0.016
2017-09-28,0.054400000000001454
2017-03-04,0.0016000000000000228
2017-02-19,0.0
2017-07-30,0.0
2016-07-01,0.0
2016-07-18,0.022399999999997817
2017-04-03,0.0
2016-10-22,0.34239999999999965
2017-03-03,0.049600000000000026
2016-09-05,0.0
2017-02-04,0.0
2016-12-22,0.0
2017-10-10,0.017599999999998544
2016-10-28,0.09120000000000072
2017-02-13,0.0
2017-09-08,0.0
2016-12-21,0.0
2017-05-17,0.0
2016-08-14,0.0
2017-03-05,0.0
2016-06-17,0.0
2017-04-21,0.0
2016-12-30,0.05919999999999999
2016-08-25,0.12479999999999995
2017-05-14,0.0
2017-07-19,0.0
2016-06-05,0.2975999999999949
2017-10-01,0.144
2017-04-19,0.017600000000000022
