fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-03-01,0.86034316,0.493045977011494,0.37430066,0.0
2017-05-09,0.46016836,0.670208333333333,0.31190717,0.8844052
2016-12-18,0.8082364,0.4565625,0.5277085,0.00168138
2016-06-08,0.5045618,0.2653125,0.115763865,0.00168138
2016-09-26,0.6124727,0.397708333333333,0.28329384,0.09100464
2017-03-13,0.77121735,0.347916666666667,0.32807043,0.04403111
2017-07-14,0.20577215,0.794318181818182,0.2968956,0.941467
2016-12-13,0.99999994,0.30045454545454503,0.44057783,0.00168138
2017-02-14,0.78793246,0.4421875,0.40102354,0.00168138
2016-10-06,0.78005236,0.274880952380952,1.0,0.007566206
2017-04-04,0.56921005,0.542395833333333,0.24638045,0.15857504
2017-02-06,0.8462387,0.372291666666667,0.37634176,0.025956284
2016-11-24,0.69236124,0.439270833333333,0.4075762,0.24075241
2017-01-27,0.8976622,0.545625,0.44383433,0.00168138
2017-03-29,0.5827296,0.532708333333333,0.32566777,0.0121899955
2017-03-07,0.8375862,0.3584375,0.28220174,0.0038881898
2017-02-13,0.8133493,0.411458333333333,0.42483154,0.018705342
2016-09-25,0.63346493,0.357395833333333,0.2490015,0.062105928
2016-12-21,0.8128291,0.439368421052632,0.61404735,0.00588483
2017-06-10,0.37266755,0.295789473684211,0.058491215,0.00168138
2016-12-15,0.8258856,0.469479166666667,0.37109962,0.00168138
2017-03-17,0.77967316,0.415729166666667,0.30295184,0.18684322
2016-09-24,0.6763343,0.266875,0.2592674,0.06862128
2016-08-14,0.63449734,0.4128125,0.56418496,0.00168138
2017-08-31,0.5143942,0.446041666666667,0.18041691,0.007566206
2016-10-22,0.35956985,0.719753086419753,0.41988876,0.030580077
2016-06-22,0.5557887,0.2234375,0.101129554,0.30338377
2017-03-02,0.8333582,0.5140625,0.3431416,0.0
2017-01-29,0.8933707,0.529594594594595,0.33918047,0.00168138
2016-12-14,0.9327641,0.37481481481481504,0.65041333,0.00168138
2016-07-17,0.20806487,0.610104166666667,0.17714056,1.0
2016-11-26,0.6046559,0.459270833333333,0.4508238,0.0055695698
2016-11-05,0.725644,0.514375,0.36083376,0.081126526
2017-05-13,0.39792907,0.8153125,0.27674115,0.82324505
2017-09-17,0.64959013,0.418125,0.23589617,0.014081549
2016-09-09,0.8588733,0.176979166666667,0.26778585,0.96847415
2017-07-23,0.27800298,0.7785,0.22541192,0.022698615
2017-08-10,0.22953202,0.771702127659574,0.37118796,1.0
2016-12-05,0.77986985,0.388229166666667,0.46807918,0.00168138
2017-04-02,0.6607991,0.421770833333333,0.45410016,0.068306014
2017-09-08,0.22561578,0.805208333333333,0.3464179,1.0
2017-01-02,0.83807784,0.437708333333333,0.61049056,0.00168138
2017-02-27,0.85015315,0.527529411764706,0.38828817,0.00168138
2017-09-26,0.7925536,0.372083333333333,0.64740396,0.007881466
2017-09-13,0.23977445,0.736666666666667,0.28307542,0.2650273
2016-07-12,0.27743268,0.783541666666667,0.10811908,1.0
2017-01-04,0.93327314,0.221911764705882,0.8183901,0.00168138
2016-07-02,0.18279554,0.83125,0.32239145,1.0
2017-01-15,0.8263281,0.478541666666667,0.44143167,0.00168138
2017-01-28,0.9141316,0.536458333333333,0.4184973,0.00168138
2017-01-12,0.8779885,0.401477272727273,0.40292975,0.00168138
2016-07-09,0.42885208,0.275416666666667,0.12974289,1.0
2017-08-15,0.37081182,0.44441176470588206,0.23805472,0.014081549
2017-07-24,0.44743538,0.591818181818182,0.13677213,0.2075452
2016-11-19,0.6676818,0.466559139784946,0.4852077,0.14712064
2017-01-26,0.8738031,0.535,0.42227092,0.00168138
2016-10-24,0.4968478,0.45515151515151503,0.4819589,1.0
2017-04-23,0.65313816,0.353297872340426,0.55633575,0.010193359
2017-04-29,0.8287371,0.144375,0.21973294,0.013451029
2016-08-15,0.8247523,0.242,0.37588882,1.0
2016-10-27,0.68464714,0.43113636363636404,0.4336677,0.03583439
2016-08-17,0.5193105,0.345520833333333,0.54409015,0.047604036
2017-04-26,0.6623231,0.304375,0.58908516,0.00168138
2017-02-28,0.9158086,0.464506172839506,0.44163385,0.00168138
2016-12-01,0.8455505,0.283645833333333,0.3337494,0.00168138
2017-01-13,0.9153777,0.34321839080459804,0.6109801,0.00168138
2017-08-29,0.35697705,0.537083333333333,0.35471797,0.9940101
2017-01-06,0.7989939,0.43270833333333303,0.46021602,0.5806011
2017-05-05,0.471574,0.494166666666667,0.24223042,0.14312737
2017-03-22,0.739606,0.4775,0.25358838,0.05685162
2017-04-01,0.5458088,0.4765625,0.33811787,0.01639345
2017-03-08,0.76723516,0.31125,0.3560285,0.01639345
2017-03-30,0.68464273,0.432395833333333,0.32894412,0.00588483
2017-07-15,0.0,0.848695652173913,0.34917194,0.8603405
2016-12-06,0.8132017,0.3359375,0.38769975,0.07030265
2016-11-30,0.7867034,0.41708333333333303,0.3560285,0.00168138
2017-02-24,0.8588242,0.5059375,0.40604722,0.28604457
2016-07-01,0.4668544,0.324791666666667,0.03451074,1.0
2016-06-01,0.3401636,0.613333333333333,0.14590615,1.0
2016-06-06,0.29611427,0.622604166666667,0.29421496,0.36118117
2016-11-12,0.68891984,0.445,0.4088867,0.05348886
2016-12-02,0.82357496,0.265729166666667,0.4115078,0.00168138
2017-07-20,0.7126091,0.21418604651162798,0.18335289,1.0
2017-07-25,0.4860127,0.43782608695652203,0.20512712,0.00168138
2017-10-03,0.7297244,0.215833333333333,0.27084377,0.00168138
2017-03-04,0.76409346,0.5067368421052629,0.42930347,0.041719217
2017-02-09,0.84594375,0.240104166666667,0.36760485,0.017444301
2017-06-21,0.13673063,0.91,0.09086371,1.0
2017-02-01,0.82692915,0.495268817204301,0.43086985,0.00168138
2017-01-03,0.9040534,0.3315625,0.9125687,0.00168138
2016-12-07,0.645608,0.4946875,0.41194463,0.007881466
2017-04-03,0.68503606,0.397708333333333,0.27979907,0.011769656
2016-08-19,0.3116495,0.348229166666667,0.6308038,0.00168138
2017-09-20,0.35508204,0.6525,0.6366814,1.0
2017-08-17,0.6225837,0.40644444444444505,0.28330842,0.0121899955
2017-09-21,0.6578136,0.435454545454545,0.8412836,0.17633459
2017-01-16,0.8549455,0.446666666666667,0.41021234,0.00168138
2016-08-26,0.43209678,0.496666666666667,0.19286698,0.00168138
2017-04-25,0.482193,0.478958333333333,0.61442214,0.9408365
2016-08-18,0.46179074,0.301041666666667,0.6930542,0.00168138
2017-09-09,0.12901531,0.803617021276596,0.3868028,1.0
2017-10-01,0.34409654,0.642708333333333,0.7387045,0.25546446
2016-07-19,0.28800255,0.623333333333333,0.05613455,1.0
2017-01-01,0.83203083,0.441458333333333,0.5512981,0.00168138
2017-02-20,0.96790475,0.265581395348837,0.46472153,0.00168138
2017-01-11,0.86024994,0.416145833333333,0.45344493,0.00168138
2016-06-15,0.647722,0.319166666666667,0.5792561,0.06431274
2017-04-28,0.7883257,0.144479166666667,0.27564907,0.05159731
2016-08-25,0.5071674,0.395208333333333,0.21776712,0.00168138
2017-08-02,0.4085973,0.4475,0.34772846,0.2869903
2017-02-03,0.5495451,0.733333333333333,0.43946585,0.00168138
2017-03-12,0.93689376,0.1875,0.363018,0.007881466
2017-05-21,0.48850566,0.43308510638297903,0.15436423,0.010193359
2017-05-03,0.7558787,0.2440625,0.18194583,0.00168138
2016-11-08,0.7368352,0.465851063829787,0.4816074,0.00588483
2017-07-27,0.5008114,0.41476190476190505,0.1377933,0.10970996
2017-10-12,0.30771655,0.578958333333333,0.45956066,1.0
2017-04-05,0.7887518,0.33930555555555597,0.33986524,0.037095424
2017-04-10,0.6088347,0.303333333333333,0.24135676,0.036464904
2017-08-30,0.552839,0.391041666666667,0.18565902,1.0
2016-12-11,0.8951059,0.3578125,0.45781335,0.96878946
2017-09-30,0.5054467,0.503958333333333,0.43029213,1.0
