fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-07-17,0.4050576,0.33125,0.19323036,0.08270283
2017-06-07,0.09272273,0.6436842105263161,0.13215405,0.00168138
2016-08-12,0.640741,0.279895833333333,0.21991962,0.00168138
2017-02-24,0.8588242,0.5059375,0.49615362,0.28604457
2017-10-12,0.30771655,0.578958333333333,0.5615423,1.0
2017-03-20,0.6878875,0.569895833333333,0.34749436,0.05222783
2017-07-14,0.20577215,0.794318181818182,0.36278003,0.941467
2017-09-13,0.23977445,0.736666666666667,0.345893,0.2650273
2016-07-13,0.18957074,0.735714285714286,0.22524574,1.0
2017-04-24,0.6151068,0.315376344086021,0.7141016,1.0
2017-07-15,0.0,0.848695652173913,0.42665705,0.8603405
2017-08-25,0.2502396,0.7519565217391311,0.25788802,0.42129046
2017-02-26,0.8375862,0.550520833333333,0.4756029,0.00168138
2017-04-07,0.5553463,0.491145833333333,0.3744505,0.31063473
2016-09-23,0.6781418,0.224468085106383,0.33035642,0.00168138
2017-05-16,0.30304617,0.928125,0.26182178,0.2233081
2016-09-25,0.63346493,0.357395833333333,0.30425772,0.062105928
2017-01-14,0.9159998,0.3696875,0.532451,0.00168138
2017-09-27,0.55411726,0.557291666666667,0.3715147,0.00168138
2017-07-12,0.19720004,0.906041666666667,0.23059535,0.707335
2017-07-20,0.7126091,0.21418604651162798,0.22404093,1.0
2017-04-20,0.66002333,0.5662637362637359,0.4479575,0.67780584
2017-01-29,0.8933707,0.529594594594595,0.41444838,0.00168138
2016-10-29,0.6541622,0.547708333333333,0.40781212,0.03846154
2016-06-16,0.65957004,0.2721875,0.08940906,0.022698615
2017-02-25,0.87101644,0.525520833333333,0.54446113,0.12673393
2017-10-01,0.34409654,0.642708333333333,0.9026312,0.25546446
2017-02-09,0.84594375,0.240104166666667,0.44918045,0.017444301
2016-12-28,0.7974207,0.388958333333333,0.49241713,0.009878099
2016-09-14,0.42434096,0.6148,0.36416984,0.051912572
2017-09-17,0.64959013,0.418125,0.28824416,0.014081549
2017-07-18,0.5735855,0.258541666666667,0.19856822,0.00168138
2017-04-30,0.7131369,0.244255319148936,0.24885762,0.05159731
2017-01-26,0.8738031,0.535,0.5159775,0.00168138
