fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-08-07,0.3127538,0.646041666666667,0.20706442,1.0
2017-03-25,0.5575004,0.659895833333333,0.41369197,0.024905425
2017-03-14,0.62100685,0.571875,0.3357152,0.9320092
2016-07-13,0.19236661,0.735714285714286,0.1843389,1.0
2016-10-22,0.364873,0.719753086419753,0.41988876,0.030580077
2017-04-30,0.7236545,0.244255319148936,0.2036626,0.05159731
2017-07-14,0.20880695,0.794318181818182,0.2968956,0.941467
2016-09-06,0.6777286,0.145833333333333,0.16250625,0.00168138
2017-09-26,0.80424255,0.372083333333333,0.64740396,0.007881466
2017-04-27,0.7300231,0.144893617021277,0.29534426,0.00168138
2017-08-30,0.5609925,0.391041666666667,0.18565902,1.0
2016-09-19,0.87238854,0.1821875,0.3464179,0.0055695698
2017-04-21,0.77515835,0.555416666666667,0.37721545,0.03509878
2017-04-28,0.7999523,0.144479166666667,0.27564907,0.05159731
2016-11-09,0.8278392,0.3934375,0.4722292,0.007566206
2017-03-21,0.69767076,0.515106382978723,0.31073606,0.004308533
2016-12-06,0.82519513,0.3359375,0.38769975,0.07030265
2016-11-25,0.5208333,0.5634375,0.5047741,0.13198823
2016-07-18,0.38883173,0.4425,0.06137669,1.0
2017-02-17,0.77790207,0.485520833333333,0.38180235,0.00168138
2017-07-21,0.36187196,0.598536585365854,0.20917407,0.0653636
2017-03-13,0.7825915,0.347916666666667,0.32807043,0.04403111
2017-03-20,0.69803274,0.569895833333333,0.28438595,0.05222783
2017-04-04,0.577605,0.542395833333333,0.24638045,0.15857504
2017-05-20,0.36298913,0.532659574468085,0.13964161,0.00168138
2017-05-13,0.40379792,0.8153125,0.27674115,0.82324505
2017-09-03,0.24959655,0.804791666666667,0.36083376,0.348781
2017-02-04,0.76377404,0.48200000000000004,0.4306416,1.0
2017-04-02,0.67054486,0.421770833333333,0.45410016,0.068306014
2017-01-28,0.9276137,0.536458333333333,0.4184973,0.00168138
2016-11-06,0.8368558,0.439782608695652,0.46882942,0.050861705
2017-02-06,0.8587194,0.372291666666667,0.37634176,0.025956284
2016-11-12,0.6990803,0.445,0.4088867,0.05348886
2016-07-10,0.35181546,0.288020833333333,0.10811908,1.0
2017-07-24,0.4540344,0.591818181818182,0.13677213,0.2075452
2017-03-17,0.7911721,0.415729166666667,0.30295184,0.18684322
2017-01-29,0.9065464,0.529594594594595,0.33918047,0.00168138
2017-10-09,0.584639,0.470625,0.6207564,0.072194204
2017-05-28,0.31097716,0.8067741935483871,0.083197795,0.2702816
2016-09-26,0.62150574,0.397708333333333,0.28329384,0.09100464
2017-04-12,0.6669505,0.356144578313253,0.20412758,0.014396805
2017-08-18,0.46882755,0.541777777777778,0.21387923,0.57208914
2016-07-07,0.47568542,0.2321875,0.10964804,0.65090376
2016-05-31,0.29020476,0.822916666666667,0.049800307,1.0
2016-07-05,0.28591448,0.657604166666667,0.20684603,0.00168138
2017-02-09,0.8584201,0.240104166666667,0.36760485,0.017444301
2017-05-19,0.2112333,0.620104166666667,0.3667312,0.13692729
2017-10-04,0.5400399,0.39375,0.38486028,1.0
2016-11-03,1.0,0.188947368421053,0.5899887,0.00168138
2016-12-12,0.91409415,0.380833333333333,0.67776465,0.00168138
2017-02-25,0.88386256,0.525520833333333,0.44558164,0.12673393
2017-03-23,0.7191849,0.434375,0.3979656,0.016708706
2017-07-28,0.38994098,0.418723404255319,0.36806494,0.57734346
2017-09-11,0.32233214,0.530652173913044,0.3190866,0.00168138
2016-11-15,0.58344615,0.429782608695652,0.19828954,0.00168138
2016-10-27,0.69474465,0.43113636363636404,0.4336677,0.03583439
2017-04-10,0.61781406,0.303333333333333,0.24135676,0.036464904
2017-06-22,0.18650894,0.8679069767441859,0.13020006,1.0
2017-03-15,0.70332074,0.387395833333333,0.34860212,0.0
2016-11-23,0.5531955,0.554315789473684,0.3613212,0.2650273
2016-11-26,0.6135737,0.459270833333333,0.4508238,0.0055695698
2017-06-23,0.1968558,0.841,0.0,1.0
2016-06-19,0.22627021,0.721162790697674,0.19895741,0.09058428
2017-03-08,0.7785507,0.31125,0.3560285,0.01639345
2016-10-23,0.40105414,0.601875,0.499532,0.22393863
2017-04-08,0.45867229,0.461263157894737,0.5250966,0.00168138
2017-01-05,0.8322782,0.29463157894736797,0.5107497,0.050231192
2017-04-11,0.58907646,0.281447368421053,0.05380088,0.007566206
2016-12-22,0.78623325,0.416875,0.5851536,0.007566206
2017-01-27,0.91090137,0.545625,0.44383433,0.00168138
2016-08-12,0.6501909,0.279895833333333,0.17998004,0.00168138
2017-02-27,0.8626916,0.527529411764706,0.38828817,0.00168138
2017-09-16,0.7954673,0.25512195121951203,0.2904911,0.00168138
2016-12-29,0.7537357,0.503473684210526,0.41098356,0.00168138
2016-11-02,0.73806494,0.26670454545454503,0.7393796,1.0
2016-09-16,0.6153696,0.314270833333333,0.21776712,0.9425178
2016-08-16,0.6358732,0.3296875,0.44077638,0.00168138
2017-05-04,0.629043,0.336808510638298,0.23043096,0.042980243
2017-01-21,0.85452884,0.526145833333333,0.45060542,0.00168138
2016-12-30,0.71774983,0.542857142857143,0.35782695,0.0055695698
2016-06-21,0.5305613,0.234270833333333,0.08081628,0.00168138
2016-07-22,0.5278674,0.358645833333333,0.07732152,1.0
2017-01-18,0.877477,0.433611111111111,0.2906474,0.00168138
2016-07-06,0.41237855,0.38125,0.26210687,0.00168138
2017-04-18,0.5108421,0.692978723404255,0.21726987,1.0
2016-07-03,0.14183073,0.939368421052632,0.23573065,1.0
2017-09-02,0.41143066,0.565208333333333,0.30884928,0.00168138
2017-04-09,0.48606193,0.379270833333333,0.27827013,0.08270283
2017-02-01,0.839125,0.495268817204301,0.43086985,0.00168138
2017-03-05,0.8065283,0.40011363636363595,0.31190717,0.0038881898
2017-09-30,0.51290125,0.503958333333333,0.43029213,1.0
2016-08-27,0.27473968,0.770416666666667,0.2546805,1.0
2016-10-28,0.5881811,0.588125,0.32741517,0.042349722
2017-05-14,0.3869859,0.873125,0.2524963,1.0
2017-03-26,0.65507984,0.517708333333333,0.2758675,0.024590168
2016-08-22,0.62868947,0.301145833333333,0.20313281,0.00168138
2017-09-15,0.6155691,0.342291666666667,0.591051,0.25777638
2017-01-14,0.92950934,0.3696875,0.43575266,0.00168138
2016-10-29,0.6638101,0.547708333333333,0.3337494,0.03846154
2017-08-08,0.46969897,0.380833333333333,0.1668747,0.00168138
2017-09-25,0.7428747,0.401333333333333,0.61507744,0.039407317
2016-09-12,0.36363876,0.588229166666667,0.56462187,0.108343855
2017-09-18,0.52307826,0.593125,0.34772846,0.026586805
2017-08-29,0.36224186,0.537083333333333,0.35471797,0.9940101
2017-03-07,0.8499393,0.3584375,0.28220174,0.0038881898
2017-08-25,0.25393027,0.7519565217391311,0.21105301,0.42129046
2017-10-11,0.24301146,0.690416666666667,0.77758366,0.82093316
2017-10-02,0.4990961,0.39136363636363597,0.49847963,0.13261876
2017-06-14,0.097241,0.97875,0.09435847,1.0
2017-02-11,0.8101792,0.393541666666667,0.32239145,0.010193359
2017-02-23,0.8637579,0.5275,0.4156578,0.28047496
2016-11-30,0.79830605,0.41708333333333303,0.3560285,0.00168138
2017-02-03,0.55765,0.733333333333333,0.43946585,0.00168138
