fecha,T (°C),HR (%),Viento (m/s),Nubosidad-octa(%)
2017-10-04,0.5321909,0.39375,0.38486028,1.0
2017-03-19,0.71933204,0.549052631578947,0.32799226,0.047604036
2017-04-19,0.54625124,0.62,0.25424367,0.02858344
2016-12-29,0.7427809,0.503473684210526,0.41098356,0.00168138
2017-08-09,0.29579365,0.551014492753623,0.27563006,0.00168138
2017-01-08,0.907888,0.314895833333333,0.39032078,0.00168138
2017-05-16,0.30304617,0.928125,0.21427235,0.2233081
2017-09-08,0.22561578,0.805208333333333,0.3464179,1.0
2017-06-14,0.09582771,0.97875,0.09435847,1.0
2016-12-01,0.8455505,0.283645833333333,0.3337494,0.00168138
2016-07-08,0.3415401,0.531354166666667,0.17124316,1.0
2016-12-28,0.7974207,0.388958333333333,0.4029893,0.009878099
2017-08-31,0.5143942,0.446041666666667,0.18041691,0.007566206
2017-04-04,0.56921005,0.542395833333333,0.24638045,0.15857504
2017-04-06,0.7484443,0.308315789473684,0.31143814,0.024590168
2017-09-13,0.23977445,0.736666666666667,0.28307542,0.2650273
2017-01-19,0.97940797,0.382238805970149,0.5323507,0.4929592
2016-06-02,0.3396719,0.6653125,0.18587744,1.0
2017-02-19,0.91685075,0.313333333333333,0.38549873,0.00168138
2016-07-23,0.46134824,0.470833333333333,0.19723544,1.0
2017-01-15,0.8263281,0.478541666666667,0.44143167,0.00168138
2016-06-06,0.29611427,0.622604166666667,0.29421496,0.36118117
2017-08-30,0.552839,0.391041666666667,0.18565902,1.0
2016-07-10,0.3467021,0.288020833333333,0.10811908,1.0
2017-07-30,0.4505483,0.39510638297872297,0.13651863,1.0
2016-10-28,0.5796324,0.588125,0.32741517,0.042349722
2017-08-06,0.33480936,0.475681818181818,0.07196025,0.00168138
2016-08-31,0.60059774,0.384210526315789,0.5273038,0.12810005
2016-12-05,0.77986985,0.388229166666667,0.46807918,0.00168138
2017-03-15,0.69309866,0.387395833333333,0.34860212,0.0
2017-05-03,0.7558787,0.2440625,0.18194583,0.00168138
2017-07-26,0.6126202,0.325,0.07688468,0.00168138
2017-01-31,0.79732233,0.609270833333333,0.4283263,0.00168138
2016-12-22,0.7748061,0.416875,0.5851536,0.007566206
2016-08-22,0.619552,0.301145833333333,0.20313281,0.00168138
2016-12-12,0.90080875,0.380833333333333,0.67776465,0.00168138
2017-02-04,0.7526733,0.48200000000000004,0.4306416,1.0
2016-09-02,0.28815,0.392916666666667,0.6314591,0.020386722
2017-04-17,0.5239479,0.671294117647059,0.3907551,1.0
2017-03-21,0.68753076,0.515106382978723,0.31073606,0.004308533
2017-01-21,0.84210914,0.526145833333333,0.45060542,0.00168138
2016-09-07,0.6645354,0.205625,0.23043561,0.00168138
2017-09-07,0.30872118,0.688260869565217,0.29264802,0.025956284
2016-09-13,0.61119455,0.375520833333333,0.53251374,1.0
2017-09-15,0.6066224,0.342291666666667,0.591051,0.25777638
2016-06-10,0.4897148,0.254895833333333,0.18347478,0.010193359
2016-08-20,0.3323468,0.433645833333333,0.6111458,0.014081549
2017-08-17,0.6225837,0.40644444444444505,0.28330842,0.0121899955
2017-07-31,0.31140083,0.562058823529412,0.13567883,1.0
2017-10-13,0.5053484,0.480208333333333,0.37131807,0.11727618
2017-01-09,0.91359085,0.279270833333333,0.5923615,0.00168138
2017-01-17,0.91697854,0.336590909090909,0.5103935,0.00168138
2016-07-15,0.3476854,0.604895833333333,0.07207938,0.6587852
2016-09-18,0.8907797,0.151875,0.26901695,0.00168138
2017-01-18,0.8647236,0.433611111111111,0.2906474,0.00168138
2016-10-22,0.35956985,0.719753086419753,0.41988876,0.030580077
2017-04-27,0.71941286,0.144893617021277,0.29534426,0.00168138
2016-06-14,0.6256482,0.409166666666667,0.22606716,0.9474569
2017-07-12,0.19720004,0.906041666666667,0.18871695,0.707335
2016-08-16,0.6266314,0.3296875,0.44077638,0.00168138
2017-02-10,0.72353,0.3634375,0.34095737,0.0137662925
2017-06-23,0.19399469,0.841,0.0,1.0
2017-08-28,0.20023502,0.795333333333333,0.34668002,0.15332073
2017-09-17,0.64959013,0.418125,0.23589617,0.014081549
2017-01-25,0.9705698,0.3740625,0.37874442,0.00168138
2017-05-23,0.20136447,0.932,0.09129385,1.0
2017-01-01,0.83203083,0.441458333333333,0.5512981,0.00168138
2017-01-28,0.9141316,0.536458333333333,0.4184973,0.00168138
2016-09-23,0.6781418,0.224468085106383,0.27036044,0.00168138
2017-05-21,0.48850566,0.43308510638297903,0.15436423,0.010193359
2017-07-29,0.50239867,0.28625,0.6434723,1.0
2016-12-15,0.8258856,0.469479166666667,0.37109962,0.00168138
